"","LOTI","datetime"
"904",-16,1955-04-01
"905",-14,1955-05-01
"906",-17,1955-06-01
"907",-13,1955-07-01
"908",14,1955-08-01
"909",-12,1955-09-01
"910",2,1955-10-01
"911",-25,1955-11-01
"912",-28,1955-12-01
"913",-23,1956-01-01
"914",-31,1956-02-01
"915",-32,1956-03-01
"916",-26,1956-04-01
"917",-27,1956-05-01
"918",-10,1956-06-01
"919",-10,1956-07-01
"920",-32,1956-08-01
"921",-10,1956-09-01
"922",-22,1956-10-01
"923",-21,1956-11-01
"924",-18,1956-12-01
"925",-13,1957-01-01
"926",-6,1957-02-01
"927",-8,1957-03-01
"928",3,1957-04-01
"929",-1,1957-05-01
"930",15,1957-06-01
"931",-9,1957-07-01
"932",20,1957-08-01
"933",13,1957-09-01
"934",-1,1957-10-01
"935",15,1957-11-01
"936",18,1957-12-01
"937",38,1958-01-01
"938",23,1958-02-01
"939",17,1958-03-01
"940",10,1958-04-01
"941",11,1958-05-01
"942",-20,1958-06-01
"943",4,1958-07-01
"944",-13,1958-08-01
"945",-10,1958-09-01
"946",7,1958-10-01
"947",7,1958-11-01
"948",-8,1958-12-01
"949",3,1959-01-01
"950",7,1959-02-01
"951",25,1959-03-01
"952",19,1959-04-01
"953",-1,1959-05-01
"954",9,1959-06-01
"955",8,1959-07-01
"956",0,1959-08-01
"957",-12,1959-09-01
"958",-10,1959-10-01
"959",-10,1959-11-01
"960",10,1959-12-01
"961",8,1960-01-01
"962",26,1960-02-01
"963",-47,1960-03-01
"964",-21,1960-04-01
"965",-15,1960-05-01
"966",-2,1960-06-01
"967",-12,1960-07-01
"968",8,1960-08-01
"969",7,1960-09-01
"970",13,1960-10-01
"971",-10,1960-11-01
"972",18,1960-12-01
"973",9,1961-01-01
"974",23,1961-02-01
"975",4,1961-03-01
"976",14,1961-04-01
"977",19,1961-05-01
"978",8,1961-06-01
"979",-1,1961-07-01
"980",4,1961-08-01
"981",16,1961-09-01
"982",8,1961-10-01
"983",7,1961-11-01
"984",-14,1961-12-01
"985",7,1962-01-01
"986",16,1962-02-01
"987",9,1962-03-01
"988",6,1962-04-01
"989",-11,1962-05-01
"990",4,1962-06-01
"991",-12,1962-07-01
"992",-8,1962-08-01
"993",-1,1962-09-01
"994",0,1962-10-01
"995",8,1962-11-01
"996",0,1962-12-01
"997",-2,1963-01-01
"998",22,1963-02-01
"999",-24,1963-03-01
"1000",-19,1963-04-01
"1001",-14,1963-05-01
"1002",1,1963-06-01
"1003",6,1963-07-01
"1004",15,1963-08-01
"1005",21,1963-09-01
"1006",7,1963-10-01
"1007",5,1963-11-01
"1008",-7,1963-12-01
"1009",-7,1964-01-01
"1010",-17,1964-02-01
"1011",-30,1964-03-01
"1012",-37,1964-04-01
"1013",-35,1964-05-01
"1014",-16,1964-06-01
"1015",-8,1964-07-01
"1016",-33,1964-08-01
"1017",-36,1964-09-01
"1018",-34,1964-10-01
"1019",-21,1964-11-01
"1020",-34,1964-12-01
"1021",-6,1965-01-01
"1022",-18,1965-02-01
"1023",-13,1965-03-01
"1024",-29,1965-04-01
"1025",-16,1965-05-01
"1026",-18,1965-06-01
"1027",-24,1965-07-01
"1028",-9,1965-08-01
"1029",-24,1965-09-01
"1030",-11,1965-10-01
"1031",-13,1965-11-01
"1032",-20,1965-12-01
"1033",-25,1966-01-01
"1034",-4,1966-02-01
"1035",12,1966-03-01
"1036",-11,1966-04-01
"1037",-9,1966-05-01
"1038",-2,1966-06-01
"1039",10,1966-07-01
"1040",-13,1966-08-01
"1041",-5,1966-09-01
"1042",-27,1966-10-01
"1043",-7,1966-11-01
"1044",-8,1966-12-01
"1045",-9,1967-01-01
"1046",-25,1967-02-01
"1047",1,1967-03-01
"1048",-10,1967-04-01
"1049",15,1967-05-01
"1050",-12,1967-06-01
"1051",4,1967-07-01
"1052",3,1967-08-01
"1053",-1,1967-09-01
"1054",11,1967-10-01
"1055",1,1967-11-01
"1056",-1,1967-12-01
"1057",-20,1968-01-01
"1058",-16,1968-02-01
"1059",32,1968-03-01
"1060",-9,1968-04-01
"1061",-18,1968-05-01
"1062",-10,1968-06-01
"1063",-12,1968-07-01
"1064",-9,1968-08-01
"1065",-29,1968-09-01
"1066",5,1968-10-01
"1067",-8,1968-11-01
"1068",-22,1968-12-01
"1069",-17,1969-01-01
"1070",-26,1969-02-01
"1071",-9,1969-03-01
"1072",10,1969-04-01
"1073",13,1969-05-01
"1074",2,1969-06-01
"1075",-3,1969-07-01
"1076",-10,1969-08-01
"1077",1,1969-09-01
"1078",6,1969-10-01
"1079",8,1969-11-01
"1080",34,1969-12-01
"1081",5,1970-01-01
"1082",27,1970-02-01
"1083",11,1970-03-01
"1084",12,1970-04-01
"1085",-6,1970-05-01
